2018-08-06T11:24:55.356Z - info: Website generation started at 19:24:55
2018-08-06T11:25:01.985Z - info: Building assets...
2018-08-06T11:25:29.727Z - info: Assets built
2018-08-06T11:25:29.727Z - info: Generating pages...
2018-08-06T11:26:24.489Z - info: Pages built
2018-08-06T11:26:25.361Z - info: Site data built
2018-08-06T11:26:25.361Z - info: Website generation complete! Total build time: 90.02s
2018-08-06T11:26:25.371Z - info: Generate Site durationMs=90030
2018-08-06T11:26:25.964Z - info: Serving "C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\_site" at http://127.0.0.1:8080
2018-08-06T11:26:25.964Z - info: Press CTRL+C to stop ...
2018-08-06T11:51:49.622Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\commentMinimally\basic\writeToReader\text.md
2018-08-06T11:51:49.623Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\commentMinimally\basic\path.md
2018-08-06T11:51:49.623Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\commentMinimally\path.md
2018-08-06T11:51:49.623Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\commentMinimally\basic\dontRepeatObvious\text.md
2018-08-06T11:51:49.623Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\commentMinimally\introduction\text.md
2018-08-06T11:51:49.623Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\commentMinimally\intermediate\text.md
2018-08-06T11:51:49.624Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\commentMinimally\intermediate\explainWhatWhyNotHow\text.md
2018-08-06T11:51:49.624Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\followStandard\text.md
2018-08-06T11:51:49.624Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\followStandard\introduction\text.md
2018-08-06T11:51:49.624Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\followStandard\basic\text.md
2018-08-06T11:51:49.625Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\followStandard\intermediate\text.md
2018-08-06T11:51:49.625Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\text.md
2018-08-06T11:51:49.625Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\introduction\text.md
2018-08-06T11:51:49.625Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\introduction\basic\text.md
2018-08-06T11:51:49.625Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\maximiseReadability\text.md
2018-08-06T11:51:49.626Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\maximiseReadability\introduction\text.md
2018-08-06T11:51:49.626Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\maximiseReadability\basic\text.md
2018-08-06T11:51:49.626Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\maximiseReadability\basic\avoidLongMethods\text.md
2018-08-06T11:51:49.626Z - info: [19:51:49] Reload for file change: C:\repos\nus-cs2103-AY1819S1\cs2103-website\book\codeQuality\maximiseReadability\basic\avoidDeepNesting\text.md
